CF,Nome,Cognome,Email,Nascita,Societa
CF001,Alessio,Rossi,cf001@email.com,2000-05-10,SocietaA
CF002,Martina,Bianchi,cf002@email.com,2002-07-15,SocietaB
CF003,Luca,Verdi,cf003@email.com,2001-03-20,SocietaC
CF004,Giulia,Moretti,cf004@email.com,1999-11-12,SocietaD
CF005,Federico,Colombo,cf005@email.com,2003-02-05,SocietaE
CF006,Sara,Fontana,cf006@email.com,2004-09-17,SocietaF
CF007,Matteo,Serra,cf007@email.com,1998-01-23,SocietaG
CF008,Chiara,Ferretti,cf008@email.com,2001-06-29,SocietaA
CF009,Andrea,Mariani,cf009@email.com,2000-04-02,SocietaB
CF010,Eleonora,Riva,cf010@email.com,1997-12-14,SocietaC
CF011,Simone,Russo,cf011@email.com,2005-07-01,SocietaD
CF012,Beatrice,Leoni,cf012@email.com,1998-03-19,SocietaE
CF013,Filippo,Testa,cf013@email.com,2002-09-09,SocietaF
CF014,Alice,Neri,cf014@email.com,2003-08-24,SocietaG
CF015,Stefano,Galli,cf015@email.com,1996-10-07,SocietaA
CF016,Irene,Donati,cf016@email.com,2004-04-29,SocietaB
CF017,Gabriele,Villa,cf017@email.com,2001-01-15,SocietaC
CF018,Laura,Parisi,cf018@email.com,1999-06-11,SocietaD
CF019,Marco,DeLuca,cf019@email.com,1997-02-08,SocietaE
CF020,Camilla,Bernardi,cf020@email.com,2002-11-30,SocietaF
CF021,Paolo,Pagani,cf021@email.com,2000-05-28,SocietaG
CF022,Elena,Longhi,cf022@email.com,1998-09-03,SocietaA
CF023,Daniele,Sala,cf023@email.com,2003-03-17,SocietaB
CF024,Sofia,Ferri,cf024@email.com,2004-12-25,SocietaC
CF025,Nicolo,Martini,cf025@email.com,2005-08-04,SocietaD
CF026,Vittoria,Giordano,cf026@email.com,1996-01-27,SocietaE
CF027,Giorgio,Rizzi,cf027@email.com,2002-06-21,SocietaF
CF028,Silvia,Cattaneo,cf028@email.com,1999-03-09,SocietaG
CF029,Tommaso,Re,cf029@email.com,2001-05-19,SocietaA
CF030,Francesca,Santoro,cf030@email.com,1998-07-10,SocietaB
CF031,Manuel,Fabbrini,cf031@email.com,2003-10-30,SocietaC
CF032,Claudia,Landi,cf032@email.com,2004-02-16,SocietaD
CF033,Edoardo,Malinverni,cf033@email.com,1997-05-13,SocietaE
CF034,Arianna,Piccoli,cf034@email.com,2001-09-26,SocietaF
CF035,Riccardo,Brioschi,cf035@email.com,1998-11-02,SocietaG
CF036,Lavinia,Milani,cf036@email.com,2000-06-18,SocietaA
CF037,Pietro,Ceresa,cf037@email.com,1999-10-06,SocietaB
CF038,Gaia,Fumagalli,cf038@email.com,2004-07-22,SocietaC
CF039,Lorenzo,Vitali,cf039@email.com,2003-12-03,SocietaD
CF040,Emma,Toninelli,cf040@email.com,1998-08-28,SocietaE
CF041,Samuel,Rampin,cf041@email.com,2002-03-11,SocietaF
CF042,Elisa,Castelli,cf042@email.com,2001-01-09,SocietaG
CF043,Jacopo,Mari,cf043@email.com,1997-02-23,SocietaA
CF044,Greta,Zamboni,cf044@email.com,2005-04-15,SocietaB
CF045,Alberto,Bellini,cf045@email.com,1996-07-07,SocietaC
CF046,Felicia,Gatti,cf046@email.com,1999-05-25,SocietaD
CF047,Leonardo,Santini,cf047@email.com,2003-03-29,SocietaE
CF048,Marta,Locatelli,cf048@email.com,2000-12-19,SocietaF
CF049,Diego,Conti,cf049@email.com,1998-02-02,SocietaG
CF050,Rachele,Pace,cf050@email.com,2004-10-09,SocietaA
CF051,Mattia,Negri,cf051@email.com,2001-11-14,SocietaB
CF052,Angela,Baroni,cf052@email.com,1997-06-18,SocietaC
CF053,Carlo,Bettini,cf053@email.com,2002-02-01,SocietaD
CF054,Giada,Passera,cf054@email.com,1999-09-04,SocietaE
CF055,Valerio,Forlani,cf055@email.com,2003-08-13,SocietaF
CF056,Noemi,Sala,cf056@email.com,1996-05-21,SocietaG
CF057,Mirko,Gentile,cf057@email.com,2004-01-03,SocietaA
CF058,Adele,Mazzei,cf058@email.com,2001-03-28,SocietaB
CF059,Emanuele,Costantini,cf059@email.com,1999-12-12,SocietaC
CF060,Caterina,Baioni,cf060@email.com,1998-08-01,SocietaD
CF061,Kevin,Tortora,cf061@email.com,2000-04-16,SocietaE
CF062,Fabiola,Lupo,cf062@email.com,2005-11-22,SocietaF
CF063,Ruben,Bernasconi,cf063@email.com,2003-02-27,SocietaG
CF064,Margherita,Orsi,cf064@email.com,1997-03-31,SocietaA
CF065,Danilo,Tagliabue,cf065@email.com,1996-12-08,SocietaB
CF066,Astrid,Nava,cf066@email.com,2002-01-19,SocietaC
CF067,Raffaele,DelFrate,cf067@email.com,2004-06-07,SocietaD
CF068,Miriam,Peluso,cf068@email.com,1998-09-27,SocietaE
CF069,Giovanni,Corti,cf069@email.com,2001-10-20,SocietaF
CF070,Azzurra,Morello,cf070@email.com,2000-05-14,SocietaG
CF071,Christian,Vismara,cf071@email.com,2002-06-03,SocietaA
CF072,Letizia,Rossi,cf072@email.com,1999-04-21,SocietaB
CF073,Denis,Pugliese,cf073@email.com,2004-10-30,SocietaC
CF074,Agnese,Bordoni,cf074@email.com,1997-01-12,SocietaD
CF075,Giuliano,Speranza,cf075@email.com,2003-08-18,SocietaE
CF076,Benedetta,Gualdi,cf076@email.com,2000-11-06,SocietaF
CF077,Sabino,Cerutti,cf077@email.com,1998-02-15,SocietaG
CF078,Greta,Colzani,cf078@email.com,1996-06-24,SocietaA
CF079,Carlo,Galbiati,cf079@email.com,2005-09-05,SocietaB
CF080,Selene,Folchini,cf080@email.com,2001-02-04,SocietaC
CF081,Armando,Marchesi,cf081@email.com,1999-03-14,SocietaD
CF082,Alessandra,Sala,cf082@email.com,1997-12-22,SocietaE
CF083,Stefan,Recalcati,cf083@email.com,2003-07-11,SocietaF
CF084,Vanessa,Zara,cf084@email.com,2004-09-08,SocietaG
CF085,Mirko,Sala,cf085@email.com,2000-06-19,SocietaA
CF086,Ludovica,Paglia,cf086@email.com,1998-08-26,SocietaB
CF087,Tiziano,Corbetta,cf087@email.com,1997-10-10,SocietaC
CF088,Ilaria,Tebaldi,cf088@email.com,2005-11-29,SocietaD
CF089,Alex,Ceroni,cf089@email.com,2003-01-15,SocietaE
CF090,Viviana,Iannuzzi,cf090@email.com,1999-05-03,SocietaF
